,latitude,longitude,distance_to_n,neighbour,borocode
100734,40.7792,-73.9514,0.00012169909985,345321,1
100735,40.7621,-73.9638,4.16200126459e-05,96647,1
100737,40.7785,-73.9759,0.000121071509712,145022,1
100739,40.6906,-73.9827,0.000159134509931,478395,3
100740,40.764,-73.9799,0.000150961272499,564867,1
100742,40.7073,-74.0046,0.000240878600859,900884,1
100743,40.7802,-73.9504,0.000107728057104,32192,1
100744,40.7582,-73.9622,5.77492897061e-05,343191,1
100748,40.7348,-73.9865,4.62537162035e-05,873554,1
100751,40.7409,-73.9812,0.000131631290475,640157,1
100753,40.7606,-73.9963,0.00014579090273,401944,j
100765,40.7775,-73.9536,0.000153203293198,655866,1
100767,40.7081,-74.0065,0.00020944041232,208672,1
10077,40.7616,-73.9936,0.000154750082567,17449,j
100770,40.7487,-73.9901,0.000261704496722,79434,j
100772,40.8365,-73.9441,0.000249216617897,689976,j
100774,40.7993,-73.9625,4.68227979265e-05,153243,1
100776,40.7635,-73.9799,0.000146224225049,814568,1
100789,40.7528,-73.9709,0.000151792299925,26062,1
10079,40.7087,-73.955,0.000119446562627,215142,3
100791,40.7346,-74.0018,9.27804506075e-05,554274,1
100793,40.7885,-73.9749,0.000122580572286,141099,1
100797,40.6882,-73.9615,0.000128861741252,720356,3
100798,40.7568,-73.9982,8.99054681735e-05,225579,j
10080,40.7756,-73.9846,0.000193561024294,769013,1
100805,40.7416,-73.9216,0.000115371212829,191335,4
100808,40.7562,-73.9964,0.0001846922384,779286,j
100809,40.8064,-73.9181,9.23021904762e-05,225282,2
100811,40.7462,-73.9757,0.000131019057572,258018,1
100812,40.7295,-73.9893,8.07392258584e-05,26418,1
100813,40.7619,-73.9854,1.98343764852e-05,26638,1
100814,40.7373,-74.0042,0.000151656683481,88818,1
100816,40.7447,-73.9774,6.45763059579e-05,467998,1
100818,40.7606,-73.9994,0.000376331874342,484503,j
10082,40.7084,-74.0008,0.000115258442921,839283,1
100823,40.6629,-73.9846,9.54156048892e-05,299669,3
100826,40.7716,-73.9812,0.000293108007854,742486,1
100827,40.7165,-73.9505,0.00016014844473,544864,3
100829,40.771,-73.9533,2.90505625021e-05,627047,1
100833,40.7725,-73.9819,2.64250200135e-05,457450,1
100837,40.7239,-73.9798,7.56765150746e-05,935210,1
100839,40.7787,-73.909,0.000158811211148,114266,4
10084,40.8309,-73.9486,0.00017215467003,672463,j
100840,40.7579,-73.9129,0.000133804579896,798366,4
100841,40.7284,-73.9992,8.32317709294e-05,293466,1
100842,40.7655,-73.9817,8.48123296278e-05,796999,1
100849,40.7439,-73.9971,8.05954211812e-05,261876,1
10085,40.7719,-73.9861,0.000180040341084,928238,1
100850,40.7847,-74.0059,0.0165294009561,916853,j
100852,40.708,-74.0149,0.000233810538244,164340,1
100853,40.7301,-73.9927,0.000182247547177,324130,1
100854,40.7233,-73.9946,8.02151655141e-05,16839,1
10086,40.7602,-73.9689,0.000107562108539,355028,1
100860,40.7454,-73.9845,4.06202764832e-05,180753,1
100862,40.7681,-73.9563,6.23398194285e-06,68355,1
100869,40.7678,-73.9915,0.000160621941629,638083,j
100870,40.7401,-73.9887,7.28640972841e-05,493330,1
100873,40.7327,-73.9931,0.000149389015602,877590,1
100874,40.7396,-74.0035,0.000266351609963,360859,1
100875,40.6907,-73.9216,0.000221635946125,902657,3
100876,40.86,-73.9052,3.88636545581e-05,463776,2
100880,40.7972,-73.9488,8.83962869164e-05,793613,1
100881,40.8539,-73.9318,1.85175492225e-05,625414,1
100883,40.7699,-73.9488,4.97955607182e-05,17325,1
100885,40.7624,-73.9964,0.000215505545827,812579,j
100886,40.7404,-73.929,0.000112981084415,11469,4
100890,40.6927,-73.986,0.000118800731655,497200,3
100894,40.7658,-73.9781,9.6145126711e-05,633489,1
100897,40.7351,-73.978,0.000130557253662,294064,1
100899,40.7365,-73.8676,9.39671434978e-05,755165,4
100900,40.7988,-73.9694,4.85877053687e-05,19658,1
100902,40.753,-73.9958,2.70795016107e-05,424982,j
100903,40.7864,-73.9421,7.34183263263e-05,578229,1
100904,40.7976,-73.968,1.33741724198e-05,67937,1
100906,40.7383,-74.0006,0.00012292982333,872850,1
100907,40.7617,-73.9617,0.000138303115665,294376,1
100909,40.7297,-74.004,2.50207965247e-05,862211,1
100910,40.7717,-73.9518,0.00010904613949,393291,1
100911,40.7957,-73.9705,5.16624935442e-05,166458,1
100914,40.7401,-73.9822,0.000174065361434,638586,1
100920,40.7594,-73.9712,2.66427027042e-05,457477,1
100921,40.7061,-74.0111,5.87851795359e-05,134259,1
100922,40.8713,-73.9148,0.000138332364381,842897,1
100923,40.8266,-73.9398,0.000180108574784,807181,j
100924,40.7803,-73.9466,4.63325074777e-05,293068,1
100925,40.6661,-73.9882,0.000104628169831,572665,3
100931,40.7035,-74.0109,4.6075497256e-05,204408,1
100933,40.7437,-73.9851,0.000130097982743,564858,1
100940,40.7454,-73.9776,5.64601646415e-05,404742,1
100942,40.7192,-73.9828,0.000150446425448,941656,1
100944,40.7067,-74.0101,9.32078203309e-05,865223,1
100945,40.7334,-74.0047,1.21431737773e-05,628077,1
100946,40.7348,-73.9865,4.62537162035e-05,873554,1
100947,40.7779,-73.9515,0.000159155536771,103316,1
10095,40.7658,-73.9171,0.000121383740531,347382,4
100950,40.7638,-73.9941,0.000131465094439,888608,j
100951,40.8025,-73.9587,0.000208468730862,83866,1
100953,40.753,-73.9695,4.74179512032e-05,879572,1
10096,40.7723,-73.9587,0.00016360154572,830142,1
100960,40.7062,-74.0099,0.000244677348688,710753,1
100962,40.7231,-74.0044,0.000114785127588,261801,1
100963,40.7213,-73.9952,0.000113210144901,855405,1
100964,40.8247,-73.949,0.000150693974235,395033,j
100969,40.7105,-73.9532,0.00012404152849,547357,3
100971,40.8013,-73.9606,9.19026910775e-05,64005,1
100972,40.7104,-73.9486,4.37696969638e-05,342495,3
100974,40.7079,-74.0099,0.000333622469191,59088,1
100976,40.795,-73.9708,6.43607017833e-05,115830,1
100979,40.7748,-73.9551,0.000162829743806,555516,1
100980,40.731,-73.9831,3.72237024878e-05,276146,1
100981,40.8031,-73.957,0.000182001855777,13157,1
100983,40.7412,-73.9772,0.000295857778658,611579,1
100984,40.7669,-73.9621,3.72434130738e-05,282948,1
100985,40.7443,-73.9805,0.000169631372995,819225,1
100987,40.7463,-73.9773,5.50201677155e-05,112304,1
100988,40.7299,-73.9826,0.000153991851848,89477,1
100989,40.728,-73.9832,0.000137293647986,388064,1
100992,40.7676,-73.9601,0.000121821433429,819585,1
100997,40.7548,-73.9944,0.000151597950878,137615,j
101,40.6455,-73.961,0.000342304891625,399865,3
1010,40.7689,-73.9681,5.03971853502e-05,865373,1
101003,40.7466,-73.9779,1.29148028218e-05,502101,1
101005,40.7482,-74.0051,5.14033110314e-05,759023,j
101007,40.7775,-73.9835,0.000157269345075,725803,1
101008,40.7334,-74.0047,1.21431737773e-05,628077,1
101012,40.7743,-73.9874,3.48895315058e-05,577842,1
101013,40.7691,-73.9857,0.000188138654705,38953,1
101018,40.7081,-74.0065,0.00020944041232,208672,1
101020,40.7652,-73.9897,0.000127214324308,200150,1
101021,40.7283,-73.9875,0.000105165137575,872316,1
101023,40.743,-73.9805,0.000206469718939,246387,1
101024,40.7989,-73.9535,5.62236230345e-05,148003,1
101026,40.7678,-73.9915,0.000160621941629,638083,j
101028,40.6905,-73.9668,0.000250848883519,483815,3
101034,40.7739,-73.9529,0.000150305386906,731578,1
101035,40.6692,-73.9503,0.000135557263869,656321,3
101036,40.7568,-73.9982,8.99054681735e-05,225579,j
101038,40.7299,-73.9819,0.000153454913026,690427,1
101041,40.7039,-73.9425,2.14534764767e-05,701132,3
101042,40.7593,-73.9959,0.0002090449751,523094,j
101045,40.7537,-73.9682,0.000122492254087,178754,1
101049,40.7376,-73.9738,0.000488000004339,410706,1
101050,40.7061,-74.0111,5.87851795359e-05,134259,1
101051,40.7331,-73.9972,0.000167194663573,724412,1
101053,40.7587,-73.9838,5.98865132452e-05,869059,1
101058,40.708,-74.0149,0.000233810538244,164340,1
10106,40.8404,-73.9375,0.000142631873084,165843,1
101063,40.844,-73.9414,7.61243650524e-05,242865,1
101067,40.7678,-73.9869,0.000152966117172,272023,1
101068,40.7295,-74.0029,7.03725101808e-05,547794,1
101075,40.709,-74.0169,0.000280852080032,526881,1
101078,40.7436,-73.9727,4.94544011795e-05,834665,1
101080,40.694,-73.9828,0.000123110044102,828633,3
101083,40.7512,-74.0026,0.000493438719051,712939,j
101084,40.748,-73.981,1.60198252621e-05,19098,1
101085,40.7324,-73.9875,2.33536862866e-05,887532,1
101089,40.7177,-73.9907,0.000124008517758,459497,1
10109,40.7806,-73.947,0.000123142390619,514412,1
101090,40.7922,-73.9645,1.91947920125e-05,158417,1
101091,40.7742,-73.9475,5.65053639966e-05,78928,1
101092,40.7073,-74.0046,0.000240878600859,900884,1
101097,40.7487,-73.9425,6.74373734976e-05,784700,4
101099,40.8031,-73.957,0.000182001855777,13157,1
10110,40.8152,-73.9473,5.73756918404e-05,627431,j
101101,40.7786,-73.9478,4.77473706304e-05,156011,1
101103,40.7535,-73.9742,0.000143357965998,930699,1
101106,40.7559,-73.9649,5.85205976099e-05,282826,1
101111,40.7324,-73.9875,2.33536862866e-05,887532,1
101113,40.8342,-73.9427,0.000120841959178,102442,j
101114,40.778,-73.9489,0.000113999063437,642656,1
101115,40.7688,-73.9547,0.00012667668452,466352,1
